,PACF
0,1.0
1,0.009017287878793525
2,0.02641879770007972
3,-0.11669157390591803
4,-0.16165699071908504
5,0.01495755737632359
6,0.1532200340090787
7,0.1946549982485904
8,0.09791269633187923
9,0.015716048482667153
10,-0.08999035762313207
11,-0.07924587333844824
12,-0.04358462608899188
13,0.060608718810681236
14,0.0980735417996489
15,0.060292322822092626
16,-0.009279140705504157
17,-0.09557859690251952
18,-0.06134915208839243
19,-0.038595455394457925
20,0.04522315001041842
21,0.06737079675880109
22,0.06983223500671315
23,0.014475602631569887
24,-0.05640122213477092
25,-0.0853760732300146
26,0.005379101874923883
27,0.06601773916468127
28,0.06729700879107081
29,0.053119501415350136
30,0.025746527342340227
31,-0.008195176196961714
32,-0.047048550970865334
33,-0.0248951045628995
